id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var
55132,0.287,1.023,0.066,-0.008,0.016,0.609,-0.133,0.011,0.0,0.019,0.006,0.001,TX,ERCO,ERCOT,32.017826,-94.619743,NG,GAS,0.49758,939.6,,4095570.0,540.474,9.4,1790567.25,7355.16375,0.00013196551395776413,2.2951628222689394e-06,0.43719610457152486,Combined cycle,Generation
55137,0.253,0.886,0.051,0.007,0.015,0.625,-0.102,0.009,0.0,-0.001,0.004,0.896,TX,ERCO,ERCOT,29.593056,-97.973215,NG,GAS,0.49822,940.2,,4103375.0,301.706,8.7,1731435.062,7100.189234,7.352630456636306e-05,2.1202059280470344e-06,0.42195389453803267,Combined cycle,Generation
55139,0.379,1.582,0.081,0.024,0.022,0.275,-0.223,0.013,0.0,0.007,0.007,0.328,TX,ERCO,ERCOT,32.33422,-97.731686,NG,GAS,0.30114,788.4,,2079790.0,206.577,4.7,928720.5,7513.992999,9.932589347963015e-05,2.259843541896057e-06,0.4465453242875483,Combined cycle,Generation
55144,0.462,2.213,0.073,-0.002,0.021,0.939,-0.29,0.012,0.0,0.013,0.006,0.034,TX,ERCO,ERCOT,29.7806,-97.9894,NG,GAS,0.27585,989.0,,2389854.0,154.397,5.5,1085662.109,7644.103991,6.460520182404448e-05,2.301395817485085e-06,0.45427967942811565,Combined cycle,Generation
55153,0.4,1.135,0.058,0.001,0.014,0.926,-0.177,0.01,0.0,0.012,0.005,0.013,TX,ERCO,ERCOT,29.6244,-98.1419,NG,GAS,0.63788,1088.2,,6080649.0,767.378,14.4,2857266.125,7906.905168,0.00012620001582067968,2.3681682662492114e-06,0.4698949281565175,Combined cycle,Generation
55154,0.171,0.79,0.057,0.014,0.015,0.356,-0.143,0.009,0.0,0.012,0.005,0.011,TX,ERCO,ERCOT,30.1478,-97.2714,NG,GAS,0.55132,609.0,,2941218.0,197.426,6.3,1252212.0,7164.006544,6.712389221064198e-05,2.141969755387054e-06,0.42574606846551327,Combined cycle,Generation
55168,0.148,1.398,0.088,-0.032,0.032,0.318,-0.192,0.015,0.0,0.018,0.007,0.017,TX,ERCO,ERCOT,30.1458,-97.55,NG,GAS,0.47285,618.7,,2562770.0,272.684,5.6,1113937.0,7313.95014,0.0001064020571491004,2.1851356149791043e-06,0.4346613234898177,Combined cycle,Generation
55172,0.235,0.753,0.07,-0.046,0.018,0.008,-0.2,0.012,0.0,0.013,0.006,0.034,TX,ERCO,ERCOT,31.8594,-97.3586,NG,GAS,0.62435,807.0,,4413761.0,281.024,9.2,1820586.875,6940.746225,6.366996309949724e-05,2.0843901606815593e-06,0.4124797140126074,Combined cycle,Generation
55187,0.339,0.127,0.018,-0.004,0.004,0.344,-0.009,0.003,0.003,0.0,0.001,0.805,TX,ERCO,ERCOT,29.836952,-95.121744,NG,GAS,0.63728,918.3,Yes,5126494.0,156.539,8.759,1733648.316,5690.428791,3.05352937114527e-05,1.7085751002537018e-06,0.3381742602254094,Combined cycle,Generation
55206,0.294,0.443,0.048,-0.036,0.011,0.002,-0.075,0.008,0.0,0.007,0.004,0.069,TX,ERCO,ERCOT,27.8139,-97.4283,NG,GAS,0.40372,593.3,Yes,2098242.0,209.147,3.727,746373.96,5985.569517,9.967725362470105e-05,1.7762488788233197e-06,0.3557139548250392,Combined cycle,Generation
55215,0.226,0.588,0.078,-0.015,0.018,0.389,-0.225,0.013,0.0,0.024,0.007,0.0,TX,ERCO,ERCOT,31.8403,-102.3264,NG,GAS,0.6696,1152.8,,6761970.0,658.898,14.2,2797912.938,6962.492291,9.744172186507778e-05,2.0999797396320895e-06,0.41377186500383767,Combined cycle,Generation
55223,0.149,1.051,0.068,-0.019,0.015,0.213,-0.114,0.011,0.0,0.012,0.006,0.033,TX,ERCO,ERCOT,32.32,-96.675,NG,GAS,0.2287,418.0,,837423.0,95.025,2.1,416834.594,8375.742009,0.000113473119319627,2.507693244632641e-06,0.4977587121442807,Combined cycle,Generation
55226,0.32,0.48,0.055,0.01,0.013,0.463,-0.125,0.009,0.0,0.006,0.005,0.202,TX,ERCO,ERCOT,31.8907,-96.1131,NG,GAS,0.75588,1036.0,,6859912.0,716.696,14.5,2880401.938,7065.454338,0.00010447597578511211,2.113729738807145e-06,0.41988905076333344,Combined cycle,Generation
55230,0.415,1.815,0.092,0.01,0.026,0.694,-0.414,0.015,0.0,0.029,0.008,0.0,TX,ERCO,ERCOT,33.101,-97.9574,NG,GAS,0.29476,1280.0,,3305053.0,203.949,7.3,1436549.375,7313.871669,6.170823886939181e-05,2.20873916394079e-06,0.4346524473283787,Combined cycle,Generation
55320,0.154,1.418,0.107,0.13,0.076,0.087,-0.253,0.017,0.0,0.033,0.009,0.0,TX,ERCO,ERCOT,33.0583,-97.9103,NG,GAS,0.3506,821.7,,2523635.0,157.872,5.4,1082361.438,7216.884375,6.255738250579027e-05,2.1397706086656747e-06,0.42888985055287315,Combined cycle,Generation
55327,0.634,1.012,0.037,0.044,0.009,0.0,-0.129,0.006,0.0,0.004,0.003,0.15,TX,ERCO,ERCOT,29.7731,-94.9019,NG,GAS,0.58526,932.9,Yes,4782829.0,146.258,8.714,1728393.825,6080.838586,3.057980956459033e-05,1.8219342569010936e-06,0.3613747898994507,Combined cycle,Generation
55464,0.488,0.757,0.028,0.008,0.007,0.215,-0.108,0.005,0.0,0.005,0.002,0.05,TX,ERCO,ERCOT,29.713414,-95.134508,NG,GAS,0.71689,1176.0,Yes,7385212.0,179.52,13.301,2645037.916,6026.612577,2.430803611324902e-05,1.8010315749906706e-06,0.3581532819910925,Combined cycle,Generation
55470,0.225,-0.062,0.01,-0.001,0.003,0.703,-0.006,0.002,0.0,0.0,0.001,0.861,TX,ERCO,ERCOT,29.378097,-94.932773,NG,GAS,0.53489,861.0,Yes,4034336.0,120.852,42.332,1348187.053,5623.212503,2.9955858907141103e-05,1.0492928700038867e-05,0.33417817777200515,Combined cycle,Generation
55480,0.378,1.333,0.062,-0.005,0.015,0.755,-0.18,0.01,0.0,0.01,0.005,0.07,TX,ERCO,ERCOT,32.7563,-96.4916,NG,GAS,0.6238,1894.2,,10350822.0,1192.121,22.6,4460347.5,7251.00422,0.00011517162598294126,2.18340147284921e-06,0.43091722570439334,Combined cycle,Generation
56349,0.267,1.949,0.108,-0.034,0.025,0.177,-0.223,0.018,0.0,0.005,0.009,0.565,TX,ERCO,ERCOT,31.8414,-102.315,NG,GAS,0.33686,550.4,,1624158.0,122.819,4.4,881074.703,9128.44794,7.562010592565502e-05,2.709096036223077e-06,0.5424809057985738,Combined cycle,Generation
56350,0.477,1.471,0.064,-0.016,0.017,0.337,-0.145,0.011,0.0,-0.0,0.005,0.972,TX,ERCO,ERCOT,29.2878,-96.0683,NG,GAS,0.4384,580.1,,2227830.0,137.101,5.5,1093882.594,8262.145002,6.154015342283747e-05,2.4687700587567274e-06,0.49100810833860753,Combined cycle,Generation
56611,0.424,1.169,0.038,-0.021,0.009,0.018,-0.145,0.006,0.0,0.006,0.003,0.052,TX,ERCO,ERCOT,31.474378,-96.957149,SUB,COAL,0.51672,1008.0,,4562672.0,1067.37,2324.9,4943073.0,10336.483534,0.00023393529054904668,0.0005095479140293232,1.0833724186178626,,Generation
56806,0.356,2.107,0.063,0.184,0.02,0.0,-0.135,0.01,0.0,-0.008,0.005,0.161,TX,ERCO,ERCOT,29.751645,-94.92312,NG,GAS,0.37116,535.5,,1741098.0,73.312,3.9,765719.906,7400.316926,4.2106762514229526e-05,2.239965814675567e-06,0.43979138796322775,Combined cycle,Generation
58001,0.415,1.295,0.056,-0.044,0.018,0.013,-0.114,0.01,0.0,-0.003,0.005,0.49,TX,ERCO,ERCOT,31.055833,-97.317222,NG,GAS,0.3861,1606.4,,5433243.0,155.989,12.8,2555158.938,7913.406413,2.8710109229423386e-05,2.355867388960884e-06,0.47028246997235357,Combined cycle,Generation
58005,0.267,1.084,0.052,-0.042,0.012,0.001,-0.111,0.009,0.0,0.002,0.005,0.612,TX,ERCO,ERCOT,33.582573,-96.617893,NG,GAS,0.38458,803.2,,2705919.0,63.763,5.7,1132915.0,7045.10815,2.356426781437286e-05,2.1064932098854403e-06,0.41868030787322164,Combined cycle,Generation
58378,0.16,-0.038,0.044,-0.009,0.008,0.232,-0.004,0.007,0.635,0.0,0.004,0.913,TX,ERCO,ERCOT,29.475278,-95.634167,NG,GAS,0.10115,102.7,,90997.0,6.555,0.6,116237.5,21494.214095,7.203534182445574e-05,6.59362396562524e-06,1.2773772761739397,Combustion turbine,Generation
58471,0.33,1.607,0.136,0.26,0.04,0.0,-0.206,0.022,0.0,0.023,0.011,0.034,TX,ERCO,ERCOT,32.069167,-102.585556,NG,GAS,0.21229,358.8,,667255.0,125.14,5.3,449879.906,11344.948708,0.00018754449198582252,7.942990311050498e-06,0.6742248555649639,Combustion turbine,Generation
59812,0.353,0.812,0.053,-0.003,0.013,0.819,-0.172,0.009,0.0,0.021,0.004,0.0,TX,ERCO,ERCOT,32.337679,-97.734612,NG,GAS,0.49297,1231.2,,5316851.0,89.756,11.0,2168936.125,6864.319877,1.6881420976438872e-05,2.0688937869426845e-06,0.4079362248443675,Combined cycle,Generation
60122,0.388,0.884,0.046,-0.014,0.013,0.286,-0.12,0.007,0.0,-0.001,0.004,0.755,TX,ERCO,ERCOT,29.289415,-96.065399,NG,GAS,0.51947,1230.3,,5598517.0,85.408,11.3,2243788.25,6743.939511,1.5255468546402556e-05,2.0183916562189595e-06,0.4007826090373576,Combined cycle,Generation
6146,0.471,1.16,0.046,0.038,0.011,0.001,-0.181,0.008,0.0,0.002,0.004,0.534,TX,ERCO,ERCOT,32.2606,-94.5706,SUB,COAL,0.46248,3179.6,,12881511.0,10109.401,43582.9,14788925.0,10545.365641,0.0007847993143040439,0.003383368612579689,1.1480737779907964,,Generation
6178,0.378,1.554,0.053,-0.019,0.012,0.126,-0.242,0.009,0.0,0.016,0.005,0.001,TX,ERCO,ERCOT,28.7128,-97.214167,RC,COAL,0.46405,622.4,,2530102.0,2031.158,8114.9,3005981.0,11328.065915,0.0008027968832877093,0.0032073410479103214,1.1880868834537106,,Generation
6179,0.428,0.916,0.038,-0.017,0.009,0.071,-0.107,0.006,0.0,0.005,0.003,0.13,TX,ERCO,ERCOT,29.9172,-96.7506,RC,COAL,0.59174,1690.0,,8760283.0,5678.097,912.5,10247053.25,11152.907322,0.00064816364950767,0.00010416330157370486,1.1697171484071918,,Generation
6180,0.318,0.171,0.023,-0.009,0.006,0.095,-0.012,0.004,0.002,-0.003,0.002,0.085,TX,ERCO,ERCOT,31.1803,-96.4866,LIG,COAL,0.44042,3397.0,,13105806.0,4749.977,8804.7,14334643.5,10048.679987,0.0003624330315892056,0.0006718167505302612,1.0937628330527707,,Generation
6181,0.856,0.949,0.096,0.02,0.006,0.002,-0.132,0.014,0.0,0.014,0.008,0.056,TX,ERCO,ERCOT,29.308056,-98.3228,SUB,COAL,0.0,932.0,,-6554.0,,,,,,,,,Generation
6183,0.169,0.077,0.045,-0.011,0.01,0.261,-0.017,0.008,0.031,-0.004,0.004,0.255,TX,ERCO,ERCOT,28.7044,-98.4775,LIG,COAL,0.64543,410.0,,2318144.0,2357.693,10411.7,3223528.75,12772.694017,0.0010170606312636316,0.004491394840009939,1.3905644990130035,,Generation
6243,0.422,2.806,0.057,-0.061,0.013,0.0,-0.223,0.009,0.0,0.022,0.005,0.0,TX,ERCO,ERCOT,30.7217,-96.4608,NG,GAS,0.0825,203.2,,146859.0,77.891,0.6,124061.799,14214.192163,0.0005303794796369307,4.0855514473066e-06,0.8447681040998509,Dry bottom wall-fired boiler,Generation
7030,0.447,0.254,0.029,-0.001,0.007,0.882,-0.016,0.005,0.001,0.001,0.002,0.611,TX,ERCO,ERCOT,31.091925,-96.69503,LIG,COAL,0.28689,949.2,,2385515.0,2108.099,2372.8,3076585.625,11846.217579,0.0008837081301102698,0.000994669914043718,1.2896945208896193,,Generation
7097,0.432,1.27,0.052,0.042,0.013,0.001,-0.118,0.009,0.0,0.007,0.004,0.12,TX,ERCO,ERCOT,29.309722,-98.3203,SUB,COAL,0.42251,1444.0,,5344458.0,2603.923,755.6,6342205.75,11566.17484,0.0004872192839760364,0.00014138009878644382,1.186688294678338,,Generation
7325,0.425,0.427,0.033,0.01,0.008,0.195,-0.054,0.005,0.0,-0.002,0.003,0.387,TX,ERCO,ERCOT,29.694838,-95.040622,NG,GAS,0.60349,176.4,Yes,932558.0,143.795,3.8,759890.875,13709.931715,0.0001541941627223186,4.074813577278839e-06,0.8148456986053414,Combustion turbine,Generation
7900,0.325,1.613,0.047,-0.03,0.012,0.01,-0.148,0.008,0.0,0.033,0.004,0.0,TX,ERCO,ERCOT,30.2098,-97.6129,NG,GAS,0.25816,696.4,,1574904.0,82.308,3.7,759015.775,8110.163183,5.226223312659058e-05,2.349349547654968e-06,0.4819441534214149,Combined cycle,Generation
55501,0.451,1.508,0.058,0.002,0.014,0.911,-0.183,0.01,0.0,0.012,0.005,0.018,OK,ERCO,ERCOT,34.6831,-95.9349,NG,GAS,0.42731,1370.0,,5128258.0,642.378,12.4,2454302.375,8053.093858,0.00012526241854446483,2.4179750706770215e-06,0.4785840289236618,Combined cycle,Generation
3439,0.17,2.554,0.243,0.214,0.088,0.015,-0.241,0.034,0.0,0.011,0.017,0.519,TX,ERCO,ERCOT,27.5667,-99.5089,NG,GAS,0.01926,450.8,,76070.0,4.06,0.2,41638.5,9210.962354,5.337189430787432e-05,2.629157355067701e-06,0.5473708426449323,Combustion turbine,Generation
3469,0.295,3.742,0.127,0.142,0.078,0.07,-0.206,0.018,0.0,0.051,0.009,0.0,TX,ERCO,ERCOT,29.9417,-95.5306,NG,GAS,0.06616,1437.7,,833179.998,339.475,13.599,573247.363,11667.695981,0.0004074449708525048,1.6321803250970507e-05,0.6880234335630319,Combined cycle,Generation
