id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var
55847,0.194,-0.057,0.037,-0.03,0.009,0.001,-0.002,0.006,0.735,0.001,0.003,0.715,CA,CISO,CAISO,39.109344,-121.60931,NG,GAS,0.07129,47.0,,29351.0,20.645,0.1,20184.6,11571.612764,0.0007033831896698579,3.4070389424551123e-06,0.6876971823787945,Combustion turbine,Intensity
55933,0.111,-0.132,0.029,-0.001,0.006,0.868,0.007,0.005,0.208,0.005,0.003,0.151,CA,CISO,CAISO,37.7107,-121.4906,NG,GAS,0.23867,336.1,,702698.0,29.272,1.8,347113.0,8312.00103,4.165658647100176e-05,2.561555604256736e-06,0.49397180581131583,Combined cycle,Intensity
57564,0.216,-0.157,0.027,0.013,0.005,0.015,0.002,0.005,0.668,0.001,0.003,0.715,CA,CISO,CAISO,36.6842,-119.5522,NG,GAS,0.11226,74.0,Yes,72771.0,4.182,0.2,31900.4,7376.269393,5.746794739662778e-05,2.748347556031936e-06,0.4383669318822058,Combined cycle,Intensity
56143,0.184,-0.064,0.034,-0.055,0.008,0.0,0.013,0.007,0.066,-0.0,0.004,0.958,CA,CISO,CAISO,33.9636,-117.4528,NG,GAS,0.05867,196.0,,100731.0,5.755,0.4,62271.299,10401.968951,5.713236243063208e-05,3.970972193267217e-06,0.6181939919190715,Combustion turbine,Intensity
56232,0.025,-0.002,0.026,0.004,0.006,0.531,0.01,0.005,0.054,0.004,0.003,0.209,CA,CISO,CAISO,32.8769,-117.166389,NG,GAS,0.08535,106.0,,79253.0,6.208,0.3,48449.9,10286.936693,7.833141963080262e-05,3.785345665148322e-06,0.6113320631395657,Combustion turbine,Intensity
56473,0.031,-0.016,0.055,-0.01,0.014,0.498,-0.002,0.01,0.831,0.002,0.006,0.781,CA,CISO,CAISO,34.0053,-117.5604,NG,GAS,0.04642,49.8,,20251.0,1.47,0.1,12393.0,10298.078644,7.258900795022467e-05,4.938027751715965e-06,0.6119697792701595,Combustion turbine,Intensity
56474,0.064,-0.021,0.038,-0.021,0.008,0.009,0.008,0.007,0.287,0.001,0.004,0.774,CA,CISO,CAISO,33.8073,-117.9832,NG,GAS,0.10169,49.8,,44364.0,1.628,0.1,26429.301,10024.227132,3.6696420521143266e-05,2.25407988459111e-06,0.595737557479037,Combustion turbine,Intensity
57482,0.099,-0.024,0.014,0.004,0.003,0.212,-0.001,0.003,0.828,0.0,0.002,0.89,CA,CISO,CAISO,33.934167,-116.571388,NG,GAS,0.08679,800.0,,608226.0,32.684,1.8,354436.297,9805.60875,5.3736604485832566e-05,2.9594262658945852e-06,0.5827378260712301,Combustion turbine,Intensity
57483,0.059,-0.102,0.025,-0.004,0.005,0.429,0.004,0.004,0.309,0.001,0.003,0.657,CA,CISO,CAISO,37.789167,-121.601944,NG,GAS,0.05965,199.6,,104297.0,7.715,0.4,67954.001,10963.7148,7.397144692560669e-05,3.835201396013308e-06,0.6515431987497243,Combustion turbine,Intensity
315,0.449,-0.21,0.021,0.004,0.004,0.279,0.035,0.004,0.0,-0.02,0.002,0.0,CA,CISO,CAISO,33.7688,-118.1009,NG,GAS,0.03023,2055.0,,544278.0,68.49,4.6,901172.891,27860.602257,0.00012583642917773637,8.451563355491126e-06,1.655721691856,Combined cycle,Intensity
56532,0.264,-0.068,0.025,-0.002,0.005,0.757,0.005,0.004,0.261,0.002,0.003,0.488,CA,CISO,CAISO,39.3661,-122.27,NG,GAS,0.48676,712.4,,3037655.0,47.755,6.5,1298805.25,7194.657392,1.5721008475287682e-05,2.139808503598993e-06,0.4275683874567717,Combined cycle,Intensity
57555,0.079,-0.108,0.045,-0.033,0.011,0.002,0.013,0.008,0.112,0.004,0.005,0.393,CA,CISO,CAISO,32.573889,-116.917777,NG,GAS,0.02943,395.4,,101952.999,6.093,0.3,59839.0,9876.072185,5.9762832479307455e-05,2.9425323721963294e-06,0.5869273153995206,Combustion turbine,Intensity
57515,0.04,-0.048,0.033,0.006,0.007,0.453,0.01,0.007,0.146,-0.0,0.004,0.983,CA,CISO,CAISO,34.008709,-117.944864,NG,GAS,0.09576,500.0,,419440.0,22.874,1.2,237430.602,9525.039934,5.4534617585351894e-05,2.860957467098989e-06,0.5660657114247568,Combustion turbine,Intensity
56472,0.148,0.098,0.089,-0.053,0.016,0.001,0.016,0.016,0.326,-0.014,0.009,0.122,CA,CISO,CAISO,34.0903,-117.5343,NG,GAS,0.03347,59.8,,17531.0,1.833,0.1,11858.9,11383.320974,0.00010455764075067024,5.704181164793794e-06,0.6764531401517312,Combustion turbine,Intensity
57027,0.073,-0.142,0.036,0.014,0.008,0.067,0.017,0.007,0.021,-0.006,0.004,0.13,CA,CISO,CAISO,33.858056,-117.861667,NG,GAS,0.06345,200.0,,111171.0,5.499,0.4,69598.0,10533.973001,4.9464338721429146e-05,3.598060645312177e-06,0.6260445619810922,Combustion turbine,Intensity
356,0.354,-0.856,0.057,-0.019,0.014,0.168,0.015,0.011,0.191,0.006,0.007,0.351,CA,CISO,CAISO,33.8504,-118.395,NG,GAS,0.02663,1316.4,,307081.0,19.615,1.3,264167.605,14476.377975,6.387565495748679e-05,4.233410728765375e-06,0.8602538255378873,Dry bottom wall-fired boiler,Intensity
422,0.094,-0.179,0.025,-0.013,0.005,0.007,0.028,0.005,0.0,0.005,0.003,0.118,CA,CISO,CAISO,34.126,-118.1494,NG,GAS,0.02527,265.6,,58789.0,5.485,0.1,32911.8,9420.156194,9.329976696320741e-05,1.7009984861113475e-06,0.5598292197519945,Combined cycle,Intensity
